,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
68,8,2,2,1,1,7,8,105,75,5,5,123,63
69,8,5,0,3,0,15,4,110,75,13,9,126,63
70,8,3,3,1,1,6,11,113,78,2,1,127,64
71,8,3,2,3,0,4,5,116,80,6,2,130,64
72,9,1,1,1,1,5,5,117,81,5,4,131,65
73,9,2,0,3,0,13,3,119,81,13,1,134,65
74,9,2,0,3,0,6,3,121,81,7,4,137,65
75,9,2,0,3,0,9,3,123,81,15,7,140,65
76,9,3,0,3,0,8,4,126,81,10,2,143,65
77,9,0,3,0,3,3,7,126,84,7,6,143,68
78,9,1,0,3,0,10,4,127,84,11,1,146,68
79,9,1,4,0,3,10,4,128,88,12,11,146,71
80,9,1,1,1,1,8,3,129,89,11,2,147,72
81,10,1,1,1,1,16,5,130,90,14,3,148,73
82,10,1,1,1,1,6,6,131,91,6,4,149,74
83,10,1,0,3,0,5,5,132,91,9,5,152,74
84,10,3,1,3,0,7,8,135,92,8,3,155,74
85,10,2,2,1,1,10,5,137,94,10,2,156,75
86,10,4,1,3,0,9,9,141,95,9,4,159,75
87,10,0,0,1,1,4,2,141,95,6,3,160,76
88,10,0,1,0,3,6,12,141,96,2,11,160,79
89,10,1,0,3,0,8,8,142,96,8,1,163,79
90,11,2,5,0,3,15,8,144,101,13,9,163,82
91,11,2,0,3,0,10,3,146,101,14,9,166,82
92,11,1,2,0,3,7,5,147,103,7,5,166,85
93,11,0,4,0,3,8,8,147,107,10,10,166,88
94,11,1,1,1,1,10,4,148,108,16,12,167,89
95,11,1,1,1,1,4,8,149,109,8,2,168,90
96,11,1,0,3,0,11,4,150,109,14,2,171,90
97,11,1,2,0,3,5,7,151,111,5,4,171,93
98,11,3,0,3,0,13,4,154,111,15,4,174,93
99,12,0,0,1,1,8,8,154,111,9,12,175,94
100,12,0,1,0,3,7,9,154,112,8,5,175,97
101,12,1,1,1,1,5,3,155,113,7,4,176,98
102,12,2,2,1,1,7,7,157,115,10,2,177,99
103,12,1,1,1,1,17,6,158,116,15,5,178,100
104,12,1,1,1,1,7,13,159,117,3,3,179,101
105,12,2,1,3,0,12,6,161,118,13,3,182,101
106,12,0,3,0,3,6,9,161,121,6,7,182,104
107,12,0,0,1,1,10,3,161,121,15,4,183,105
108,13,2,1,3,0,6,9,163,122,11,4,186,105
109,13,2,2,1,1,12,6,165,124,17,10,187,106
110,13,0,1,0,3,7,6,165,125,7,12,187,109
111,13,1,0,3,0,14,4,166,125,18,5,190,109
112,13,0,3,0,3,8,11,166,128,10,5,190,112
113,13,3,3,1,1,14,7,169,131,15,6,191,113
114,13,1,2,0,3,10,11,170,133,9,7,191,116
115,13,0,3,0,3,15,11,170,136,13,13,191,119
116,13,0,1,0,3,5,8,170,137,5,15,191,122
117,14,3,0,3,0,20,6,173,137,18,4,194,122
118,14,4,0,3,0,10,9,177,137,9,3,197,122
119,14,0,0,1,1,12,6,177,137,18,6,198,123
120,14,0,3,0,3,7,16,177,140,3,10,198,126
121,14,1,4,0,3,8,13,178,144,8,10,198,129
122,14,4,1,3,0,14,4,182,145,18,2,201,129
123,14,1,0,3,0,6,3,183,145,10,3,204,129
124,14,2,1,3,0,9,8,185,146,13,12,207,129
125,14,3,3,1,1,11,11,188,149,10,6,208,130
126,15,1,2,0,3,11,13,189,151,9,9,208,133
127,15,0,0,1,1,15,11,189,151,14,6,209,134
128,15,0,0,1,1,14,4,189,151,19,14,210,135
129,15,2,0,3,0,9,6,191,151,10,15,213,135
130,15,3,0,3,0,17,7,194,151,18,10,216,135
131,15,1,3,0,3,9,14,195,154,10,7,216,138
132,15,0,0,1,1,6,9,195,154,12,6,217,139
133,15,0,2,0,3,5,10,195,156,5,15,217,142
134,15,1,0,3,0,13,6,196,156,16,4,220,142
135,16,0,1,0,3,20,7,196,157,18,6,220,145
136,16,3,3,1,1,13,12,199,160,10,3,221,146
137,16,1,3,0,3,12,14,200,163,10,7,221,149
138,16,3,0,3,0,15,6,203,163,21,3,224,149
139,16,0,0,1,1,14,4,203,163,20,7,225,150
140,16,2,1,3,0,10,14,205,164,11,15,228,150
141,16,1,0,3,0,7,3,206,164,13,10,231,150
142,16,0,1,0,3,14,5,206,165,18,15,231,153
143,16,2,1,3,0,11,9,208,166,16,10,234,153
144,17,1,1,1,1,12,14,209,167,10,7,235,154
145,17,0,0,1,1,6,9,209,167,13,11,236,155
146,17,0,1,0,3,15,12,209,168,14,9,236,158
147,17,2,3,0,3,7,13,211,171,5,17,236,161
148,17,1,1,1,1,14,7,212,172,17,10,237,162
149,17,0,2,0,3,7,18,212,174,3,18,237,165
150,17,2,0,3,0,19,7,214,174,21,7,240,165
151,17,1,2,0,3,10,8,215,176,10,7,240,168
152,17,0,1,0,3,9,15,215,177,10,9,240,171
153,18,2,0,3,0,12,14,217,177,14,17,243,171
154,18,0,0,1,1,15,12,217,177,15,12,244,172
155,18,2,1,3,0,16,8,219,178,20,18,247,172
156,18,2,0,3,0,9,18,221,178,6,7,250,172
157,18,0,1,0,3,12,15,221,179,10,10,250,175
158,18,1,2,0,3,7,11,222,181,13,12,250,178
159,18,2,1,3,0,21,8,224,182,24,3,253,178
160,18,1,1,1,1,8,14,225,183,6,8,254,179
161,18,0,0,1,1,10,8,225,183,11,10,255,180
162,19,1,0,3,0,13,14,226,183,13,10,258,180
163,19,0,1,0,3,20,8,226,184,18,13,258,183
164,19,4,1,3,0,11,4,230,185,16,15,261,183
165,19,3,1,3,0,12,16,233,186,13,6,264,183
166,19,0,0,1,1,11,9,233,186,17,8,265,184
167,19,1,1,1,1,14,13,234,187,11,4,266,185
168,19,1,0,3,0,16,6,235,187,24,7,269,185
169,19,2,2,1,1,16,6,237,189,21,16,270,186
170,19,1,1,1,1,15,6,238,190,19,11,271,187
171,20,0,0,1,1,10,8,238,190,12,13,272,188
172,20,0,1,0,3,15,13,238,191,15,19,272,191
173,20,2,0,3,0,14,15,240,191,13,10,275,191
174,20,0,0,1,1,7,11,240,191,14,4,276,192
175,20,2,1,3,0,14,15,242,192,17,12,279,192
176,20,1,1,1,1,12,5,243,193,17,19,280,193
177,20,0,2,0,3,16,10,243,195,20,11,280,196
178,20,2,1,3,0,11,19,245,196,9,10,283,196
179,20,1,2,0,3,9,16,246,198,6,10,283,199
180,21,0,1,0,3,20,9,246,199,18,20,283,202
181,21,2,3,0,3,15,17,248,202,13,7,283,205
182,21,3,2,3,0,17,15,251,204,14,13,286,205
183,21,1,3,0,3,22,11,252,207,24,10,286,208
184,21,1,0,3,0,17,6,253,207,27,6,289,208
185,21,1,1,1,1,17,7,254,208,22,12,290,209
186,21,3,1,3,0,14,10,257,209,20,10,293,209
187,21,0,1,0,3,15,7,257,210,19,18,293,212
188,21,0,1,0,3,12,17,257,211,13,11,293,215
189,22,0,1,0,3,14,16,257,212,13,16,293,218
190,22,1,1,1,1,11,9,258,213,13,20,294,219
191,22,0,0,1,1,15,13,258,213,16,11,295,220
192,22,2,1,3,0,11,17,260,214,9,4,298,220
193,22,0,0,1,1,12,5,260,214,18,13,299,221
194,22,2,0,3,0,13,19,262,214,12,11,302,221
195,22,3,1,3,0,17,16,265,215,20,10,305,221
196,22,1,3,0,3,16,20,266,218,13,13,305,224
197,22,1,1,1,1,17,11,267,219,21,11,306,225
198,23,1,0,3,0,18,7,268,219,25,13,309,225
199,23,3,3,1,1,20,18,271,222,15,19,310,226
200,23,2,1,3,0,19,7,273,223,30,11,313,226
201,23,2,0,3,0,9,11,275,223,17,6,316,226
202,23,1,1,1,1,15,11,276,224,21,21,317,227
203,23,3,2,3,0,18,9,279,226,22,10,320,227
204,23,0,0,1,1,12,17,279,226,14,8,321,228
205,23,1,2,0,3,21,11,280,228,18,22,321,231
206,23,1,1,1,1,23,12,281,229,25,13,322,232
207,24,2,2,1,1,18,22,283,231,14,14,323,233
208,24,0,3,0,3,14,19,283,234,13,23,323,236
209,24,0,1,0,3,15,12,283,235,21,13,323,239
210,24,0,2,0,3,17,13,283,237,21,7,323,242
211,24,1,1,1,1,12,10,284,238,14,12,324,243
212,24,1,1,1,1,14,20,285,239,13,17,325,244
213,24,0,0,1,1,17,16,285,239,21,12,326,245
214,24,2,3,0,3,13,20,287,242,9,14,326,248
215,24,0,0,1,1,12,5,287,242,19,12,327,249
216,25,5,0,3,0,23,7,292,242,28,10,330,249
217,25,0,3,0,3,15,16,292,245,16,16,330,252
218,25,4,1,3,0,24,19,296,246,18,13,333,252
219,25,1,1,1,1,13,18,297,247,15,20,334,253
220,25,2,1,3,0,21,8,299,248,33,13,337,253
221,25,3,0,3,0,15,10,302,248,17,8,340,253
222,25,0,1,0,3,9,12,302,249,17,16,340,256
223,25,1,3,0,3,24,15,303,252,25,24,340,259
224,25,3,1,3,0,21,10,306,253,25,22,343,259
225,26,1,1,1,1,15,21,307,254,14,15,344,260
226,26,1,1,1,1,14,21,308,255,10,7,345,261
227,26,1,0,3,0,18,16,309,255,24,7,348,261
228,26,2,0,3,0,20,22,311,255,17,17,351,261
229,26,0,0,1,1,17,13,311,255,22,24,352,262
