,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
275,31,0,4,0,3,0,124,524,426,0,93,372,456
276,31,0,3,0,3,0,93,524,429,0,93,372,459
277,31,1,2,0,3,31,62,525,431,0,93,372,462
278,31,2,3,0,3,62,93,527,434,0,93,372,465
279,32,4,0,3,0,128,0,531,434,96,0,375,465
280,32,2,1,3,0,64,32,533,435,96,0,378,465
281,32,6,0,3,0,192,0,539,435,96,0,381,465
282,32,2,0,3,0,64,0,541,435,96,0,384,465
283,32,0,1,0,3,0,32,541,436,0,96,384,468
284,32,0,4,0,3,0,128,541,440,0,96,384,471
285,32,0,3,0,3,0,96,541,443,0,96,384,474
286,32,1,2,0,3,32,64,542,445,0,96,384,477
287,32,2,3,0,3,64,96,544,448,0,96,384,480
288,33,4,0,3,0,132,0,548,448,99,0,387,480
289,33,2,1,3,0,66,33,550,449,99,0,390,480
290,33,6,0,3,0,198,0,556,449,99,0,393,480
291,33,2,0,3,0,66,0,558,449,99,0,396,480
292,33,0,1,0,3,0,33,558,450,0,99,396,483
293,33,0,4,0,3,0,132,558,454,0,99,396,486
294,33,0,3,0,3,0,99,558,457,0,99,396,489
295,33,1,2,0,3,33,66,559,459,0,99,396,492
296,33,2,3,0,3,66,99,561,462,0,99,396,495
297,34,4,0,3,0,136,0,565,462,102,0,399,495
298,34,2,1,3,0,68,34,567,463,102,0,402,495
299,34,6,0,3,0,204,0,573,463,102,0,405,495
300,34,2,0,3,0,68,0,575,463,102,0,408,495
301,34,0,1,0,3,0,34,575,464,0,102,408,498
302,34,0,4,0,3,0,136,575,468,0,102,408,501
303,34,0,3,0,3,0,102,575,471,0,102,408,504
304,34,1,2,0,3,34,68,576,473,0,102,408,507
305,34,2,3,0,3,68,102,578,476,0,102,408,510
